vehicle_name,vehicle_type,track_type,average_speed,fuel_consumption,total_steering,total_throttle,total_brake,velocity,lap time,mass,drag_coefficient,center_of_mass_x,center_of_mass_z,max_rpm,clutch_strength,gear_switch_time,front_left_wheel_radius,front_left_wheel_max_brake_torque,front_left_wheel_lat_stiff_max_load,front_left_wheel_lat_stiff_value,front_left_wheel_long_stiff_value,rear_right_wheel_radius,rear_right_wheel_max_brake_torque,rear_right_wheel_max_handbrake_torque,rear_right_wheel_lat_stiff_max_load,rear_right_wheel_lat_stiff_value,rear_right_wheel_long_stiff_value
vehicle.ford.mustang,Car,hard,18.3706827,0.015076291,195.2865487,89.86366873,6.797686879,4.327855984,70.85548591,1410,0.300000012,0.5,-0.299999982,4500,10,0.100000001,32,700,5,15,3000,32,700,1400,3,15,3000
vehicle.dodge.charger_2020,Car,hard,17.01493247,-0.001602848,482.6508032,45.25692153,20.77917307,4.167685429,61.3165899,1920,0.300000012,0.099999994,-0.199999988,8000,10,0.100000001,35,1000,3,20,3000,35,1000,2000,3,20,3000
vehicle.mercedes.sprinter,Van,hard,18.69700368,0.010430702,469.6218442,92.33676064,4.294487936,5.098927817,63.06905003,3000,0.5,0.599999964,-0.799999952,5000,10,0.100000001,35,1500,5,20,3000,35,1500,3000,5,20,3000
vehicle.dodge.charger_2020,Car,hard,18.94565613,0.017490497,333.3503083,99.21000297,8.400682828,0.742601556,81.59642729,1920,0.300000012,0.099999994,-0.199999988,8000,10,0.100000001,35,1000,3,20,3000,35,1000,2000,3,20,3000
vehicle.tesla.cybertruck,Truck,hard,18.30917067,0.01739674,127.8060862,71.77245749,7.442000694,4.711422933,118.3330223,1500,0.300000012,0.599999964,-0.5,15000,10,0,53.5,1600,2,17,1000,53.5,1600,3200,2,17,1000
vehicle.ford.mustang,Car,hard,18.65618902,0.001660182,380.7624791,49.54595996,10.97784722,5.682828978,47.5730902,1410,0.300000012,0.5,-0.299999982,4500,10,0.100000001,32,700,5,15,3000,32,700,1400,3,15,3000
vehicle.lincoln.mkz_2020,Car,hard,18.57624211,0.00503578,129.013144,85.08509312,17.63435398,2.288893906,98.395974,1696,0.300000012,0.299999982,-0.199999988,6500,10,0.100000001,35.5,800,3,20,3000,35.5,800,1600,3,20,3000
vehicle.dodge.charger_2020,Car,hard,18.67492146,0.012006448,181.61433,105.7311896,2.46295618,4.46052272,70.88163457,1920,0.300000012,0.099999994,-0.199999988,8000,10,0.100000001,35,1000,3,20,3000,35,1000,2000,3,20,3000
vehicle.yamaha.yzf,Motorcycle,hard,18.20288365,0.014375431,239.5627746,51.40993404,21.19867282,4.98579593,56.75886915,140,0.300000012,0.049999997,-0.399999976,9000,0.600000024,0.5,31,1500,2,17,1000,31,1500,3000,2,17,1000
vehicle.lincoln.mkz_2020,Car,hard,18.4994703,0.005957318,417.9478011,108.3759163,32.53485641,4.815962688,49.85431895,1696,0.300000012,0.299999982,-0.199999988,6500,10,0.100000001,35.5,800,3,20,3000,35.5,800,1600,3,20,3000
vehicle.carlamotors.firetruck,Truck,hard,18.40541697,0.016534418,318.0256547,66.12270999,7.067162716,5.83485933,37.52749922,10000,0.5,0.799999952,-1.199999928,5000,20,0.100000001,57,3000,5,15,3000,57,3000,6000,5,15,3000
vehicle.ford.ambulance,Van,hard,17.90173486,0.00173012,378.7119838,118.4080334,9.060754602,6.279974858,35.21283545,1579,0.300000012,0.199999988,-0.899999976,6500,10,0.100000001,35,800,2,17,1000,35,800,1600,2,17,1000
vehicle.kawasaki.ninja,Motorcycle,hard,18.19777591,0.018461406,268.5820754,112.2793112,24.80003388,7.57261304,76.95834004,166,0.300000012,0.199999988,-0.399999976,10000,0.600000024,0.5,32,1500,2,17,1000,32,1500,3000,2,17,1000
vehicle.vespa.zx125,Motorcycle,hard,18.46804427,0.023753637,210.2950111,145.893656,26.32485794,3.729783157,90.86195454,200,0.300000012,0.201072931,-0.450094759,2000,10,0.5,21.5,1500,2,17,1000,21.5,1500,3000,2,17,1000
vehicle.vespa.zx125,Motorcycle,hard,18.09534798,0.01024867,367.3770345,65.43339956,11.96183663,4.140569444,88.17407028,200,0.300000012,0.201072931,-0.450094759,2000,10,0.5,21.5,1500,2,17,1000,21.5,1500,3000,2,17,1000
vehicle.carlamotors.firetruck,Truck,hard,17.2135163,0.022883496,454.7501323,50.63455117,12.60512683,3.348857928,42.29831877,10000,0.5,0.799999952,-1.199999928,5000,20,0.100000001,57,3000,5,15,3000,57,3000,6000,5,15,3000
vehicle.toyota.prius,Car,hard,17.89623097,0.004805013,296.365531,117.7374806,30.46920931,6.432743504,70.69185509,1375,0.300000012,0.5,-0.299999982,5000,10,0,37,800,3,20,3000,37,800,1600,3,20,3000
vehicle.lincoln.mkz_2020,Car,hard,17.49774002,0.013846722,173.0159114,114.328105,4.34104562,2.753550885,62.83971469,1696,0.300000012,0.299999982,-0.199999988,6500,10,0.100000001,35.5,800,3,20,3000,35.5,800,1600,3,20,3000
vehicle.mini.cooper_s_2021,Car,hard,18.80739978,0.017690189,254.288655,128.5398191,25.19527584,4.612515178,89.883757,1130,0.300000012,0.599999964,-0.5,6500,10,0.100000001,37.5,500,1,17,3000,37.5,500,1000,1,17,3000
